Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,23892.2920,21986.5115,208,114.8668,114.8262,113.4730,116.1581,0.5528,416,2.0,1.0,2.0
:tr-forward,PushPop,14030.1479,8602.1473,208,67.4526,67.4006,66.4929,70.6151,0.6683,32864,158.0,1.0,3.0
:tr-optimize,PushPop,485.7588,176.2042,208,2.3354,2.3343,2.3106,2.3619,0.0101,11648,56.0,1.0,1.0
:tr-data,PushPop,68.3747,147.9819,208,0.3287,0.3132,0.2554,0.5494,0.0499,1248,6.0,1.0,5.0
:ep=naive_symm @ olmoe-1b-7b @ step_75,PushPop,1499.0177,1199.9152,8,187.3772,187.3914,187.2963,187.4144,0.0414,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_72,PushPop,1494.5575,1200.1312,8,186.8197,186.8191,186.8009,186.8505,0.0161,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_55,PushPop,1492.4216,1206.1725,8,186.5527,186.8015,183.3746,187.5360,1.3338,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_78,PushPop,1491.5601,1197.4231,8,186.4450,186.4473,186.4014,186.4822,0.0291,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_58,PushPop,1491.0871,1191.3839,8,186.3859,186.3877,186.3618,186.4065,0.0150,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_59,PushPop,1489.1313,1490.2206,8,186.1414,186.1355,186.0988,186.1895,0.0335,1840,230.0,0.0,12.0
:ep=naive_symm @ olmoe-1b-7b @ step_65,PushPop,1488.6873,1190.5509,8,186.0859,186.0834,186.0637,186.1192,0.0164,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_74,PushPop,1488.1783,1192.2607,8,186.0223,186.0272,185.9773,186.0599,0.0261,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_79,PushPop,1487.4428,1488.4009,8,185.9304,185.9357,185.8661,185.9727,0.0371,1840,230.0,0.0,12.0
:ep=naive_symm @ olmoe-1b-7b @ step_64,PushPop,1485.6988,1197.2507,8,185.7123,185.7569,185.3815,185.7940,0.1356,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_80,PushPop,1484.3369,1190.1273,8,185.5421,185.5461,185.4769,185.5768,0.0295,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_63,PushPop,1483.6659,1189.9089,8,185.4582,185.4585,185.4379,185.4821,0.0128,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_69,PushPop,1483.3991,1484.4286,8,185.4249,185.4346,185.3663,185.4830,0.0409,1840,230.0,0.0,12.0
:ep=naive_symm @ olmoe-1b-7b @ step_67,PushPop,1483.3671,1185.3321,8,185.4209,185.4131,185.3788,185.4866,0.0318,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_56,PushPop,1483.1337,1189.9670,8,185.3917,185.3916,185.3478,185.4163,0.0217,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_77,PushPop,1482.3813,1190.1914,8,185.2977,185.2948,185.2436,185.3329,0.0281,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_70,PushPop,1482.2058,1187.5506,8,185.2757,185.2748,185.2527,185.3018,0.0160,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_73,PushPop,1482.1538,1191.5339,8,185.2692,185.2648,185.2441,185.2928,0.0182,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_76,PushPop,1481.5139,1183.6579,8,185.1892,185.1932,185.1618,185.2140,0.0172,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_60,PushPop,1481.4915,1183.8945,8,185.1864,185.1800,185.1528,185.2362,0.0262,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_62,PushPop,1481.4180,1189.3037,8,185.1773,185.1852,185.1172,185.2130,0.0310,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_66,PushPop,1481.3097,1188.7950,8,185.1637,185.1672,185.1410,185.1858,0.0145,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_68,PushPop,1481.2416,1185.4380,8,185.1552,185.1518,185.1334,185.1868,0.0174,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_61,PushPop,1480.3054,1188.6430,8,185.0382,185.0328,185.0163,185.0775,0.0200,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_71,PushPop,1478.4202,1185.0170,8,184.8025,184.7959,184.7784,184.8355,0.0223,1800,225.0,0.0,7.0
:ep=naive_symm @ olmoe-1b-7b @ step_57,PushPop,1474.7571,1183.3136,8,184.3446,184.3430,184.3137,184.3810,0.0209,1800,225.0,0.0,7.0
:combine.fw,PushPop,6964.7846,4879.0773,208,33.4845,33.4342,32.9524,34.0537,0.2341,2912,14.0,4.0,3.0
:experts.fw,PushPop,3210.5638,64.9250,208,15.4354,15.4355,15.1653,15.6562,0.1053,1872,9.0,4.0,5.0
:dispatch.fw,PushPop,2174.3413,959.8919,208,10.4536,10.3150,9.7503,13.0138,0.5703,15184,73.0,4.0,11.0
:bw.a2a_combine,PushPop,14982.1300,13743.3984,208,72.0295,71.9659,71.0687,73.0880,0.4931,2704,13.0,2.0,4.0
:fw.MoE,PushPop,8421.4251,8209.7589,208,40.4876,40.4386,39.6276,42.7842,0.5868,25168,121.0,3.0,19.0
:bw.a2a_dispatch,PushPop,8351.5314,7109.9473,208,40.1516,40.1770,39.8030,40.3853,0.1379,2704,13.0,2.0,4.0
:fw.a2a_combine,PushPop,6080.7519,4848.3111,208,29.2344,29.1852,28.7262,29.7865,0.2329,2496,12.0,6.0,4.0
:fw.Attn,PushPop,2235.8203,183.9994,208,10.7491,10.7347,10.5527,11.1227,0.1041,4784,23.0,3.0,21.0
:fw.a2a_dispatch,PushPop,1744.9817,503.7840,208,8.3893,8.2385,7.7241,10.8943,0.5757,2496,12.0,6.0,4.0
